2697,27-33-2021 11:33:21,SP58,Peyote Wifi,Seed Seedsman,photoperiod,flower,female
8662,14-2-2022 03:23:30,CK1 Cloner,Fuel D.og 2,Seedsman,Photoperiod,Clone,Fem
6005,14-2-2022 03:23:30,CK1 Cloner,Fuel D.og 3,Seedsman,Photoperiod,Clone,Fem
1498,14-2-2022 03:23:30,CK1 Cloner,Fuel D.og 4,Seedsman,Photoperiod,Clone,Fem
769,14-2-2022 03:23:30,CK1 Cloner,Fuel D.og 5,Seedsman,Photoperiod,Clone,Fem
9319,14-2-2022 03:23:30,CK1 Cloner,Fuel D.og 6,Seedsman,Photoperiod,Clone,Fem
8277,14-2-2022 03:23:30,CK1 Cloner,Fuel D.og 7,Seedsman,Photoperiod,Clone,Fem
1059,14-2-2022 03:23:30,CK1 Cloner,Rainbow Cake 1,Pheno Finder Seeds,Photoperiod,Clone,Fem
4433,14-2-2022 03:23:30,CK1 Cloner,Rainbow Cake 2,Pheno Finder Seeds,Photoperiod,Clone,Fem
4011,14-2-2022 03:23:30,CK1 Cloner,Runtz Muffin 1,Seedsman,Photoperiod,Clone,Fem
5687,14-2-2022 03:23:30,CK1 Cloner,Runtz Muffin 2,Seedsman,Photoperiod,Clone,Fem
3185,14-2-2022 03:23:30,CK1 Cloner,Runtz Muffin 3,Seedsman,Photoperiod,Clone,Fem
8780,14-2-2022 03:23:30,CK1 Cloner,Runtz Muffin 4,Seedsman,Photoperiod,Clone,Fem
800,14-2-2022 03:23:30,CK1 Cloner,Runtz Muffin 5,Seedsman,Photoperiod,Clone,Fem
9959,14-2-2022 03:23:30,Veg Tent,Goldleaf 1,ILGM,Photoperiod,Germination,Fem
8716,14-2-2022 03:23:30,Veg Tent,Goldleaf 2,ILGM,Photoperiod,Germination,Fem
9575,14-2-2022 03:23:30,Veg Tent,Goldleaf 3,ILGM,Photoperiod,Germination,Fem
2871,14-2-2022 03:23:30,Veg Tent,Goldleaf 4,ILGM,Photoperiod,Germination,Fem
8303,14-2-2022 03:23:30,Veg Tent,Goldleaf 5,ILGM,Photoperiod,Germination,Fem
2617,14-2-2022 03:23:30,Veg Tent,Wedding Cake,1508 Seed,Photoperiod reg,Germination,Unknown
9496,14-2-2022 03:23:30,Veg Tent,Skywalker OG 1,ILGM,Photoperiod,Germination,Fem
8894,14-2-2022 03:23:30,Veg Tent,Skywalker OG 2,ILGM,Photoperiod,Germination,Fem
5452,14-2-2022 03:23:30,Veg Tent,Skywalker OG 3,ILGM,Photoperiod,Germination,Fem
1644,14-2-2022 03:23:30,Veg Tent,Skywalker OG 4,ILGM,Photoperiod,Germination,Fem
5768,14-2-2022 03:23:30,Veg Tent,Skywalker OG 5,ILGM,Photoperiod,Germination,Fem
881,14-2-2022 03:23:30,Veg Tent,Skywalker OG 6,ILGM,Photoperiod,Germination,Fem
8390,14-2-2022 03:23:30,Veg Tent,Skywalker OG 7,ILGM,Photoperiod,Germination,Fem
6078,14-2-2022 03:23:30,Veg Tent,Skywalker OG 8,ILGM,Photoperiod,Germination,Fem
7032,14-2-2022 03:23:30,Veg Tent,Skywalker OG 9,ILGM,Photoperiod,Germination,Fem
8570,14-2-2022 03:23:30,Veg Tent,Skywalker OG 10,ILGM,Photoperiod,Germination,Fem
6619,14-2-2022 03:23:30,Veg Tent,Skywalker OG 11,ILGM,Photoperiod,Germination,Fem
5265,14-2-2022 03:23:30,Veg Tent,Skywalker OG 12,ILGM,Photoperiod,Germination,Fem
3541,14-2-2022 03:23:30,Veg Tent,Skywalker OG 13,ILGM,Photoperiod,Germination,Fem
6354,14-2-2022 03:23:30,Veg Tent,Skywalker OG 14,ILGM,Photoperiod,Germination,Fem
7424,14-2-2022 03:23:30,Veg Tent,Skywalker OG 15,ILGM,Photoperiod,Germination,Fem
3561,14-2-2022 03:23:30,Veg Tent,Skywalker OG 16,ILGM,Photoperiod,Germination,Fem
2025,14-2-2022 03:23:30,Veg Tent,Skywalker OG 17,ILGM,Photoperiod,Germination,Fem
966,14-2-2022 03:23:30,Veg Tent,Skywalker OG 18,ILGM,Photoperiod,Germination,Fem
5386,14-2-2022 03:23:30,Veg Tent,Skywalker OG 19,ILGM,Photoperiod,Germination,Fem
9990,14-2-2022 03:23:30,Veg Tent,Skywalker OG 20,ILGM,Photoperiod,Germination,Fem
